username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gretchen415;2016-11-06 05:44;0;0;"@rdcloutier They're trying to throw it to Trump. Can't get more blatant than employing Manafort.";;@rdcloutier;;"795124596378726400";https://twitter.com/Gretchen415/status/795124596378726400
Gretchen415;2016-11-06 05:41;0;0;"@rdcloutier @CNN Um. CNN employs a man on Trump's payroll--Manafort.";;@rdcloutier @CNN;;"795123859670241280";https://twitter.com/Gretchen415/status/795123859670241280
Khanoisseur;2016-11-06 05:21;32;47;"That time Trump defended his claim a protestor was an ISIS agent…by admitting he fell for a YouTube hoax @joshtpm https:// twitter.com/khanoisseur/st atus/767436399083610117 …";;@joshtpm;;"795118990137794560";https://twitter.com/Khanoisseur/status/795118990137794560
MartyMacGyver;2016-11-06 05:14;0;0;""The first 100 days of a Trump presidency" (or "Why electing Trump endangers our economy, democracy, and the world") https://www. washingtonpost.com/opinions/the-f irst-100-horrific-days-of-a-trump-presidency/2016/11/04/1abca4d2-a286-11e6-a44d-cc2898cfab06_story.html?tid=sm_fb …";;;;"795117030324072448";https://twitter.com/MartyMacGyver/status/795117030324072448
KayshaBlack;2016-11-06 05:00;0;1;"@tbhtumbIr @Poemsweb Now I can Tell Trump to Go Suck a Dogs Dick.";;@tbhtumbIr @Poemsweb;;"795113679523958784";https://twitter.com/KayshaBlack/status/795113679523958784
SanFranciscoCP;2016-11-06 04:48;0;0;"Report: Donald Trump affair story suppressed by National Enquirer http:// dlvr.it/Mbtf9b";;;;"795110480008212480";https://twitter.com/SanFranciscoCP/status/795110480008212480
rheannamonique;2016-11-06 04:47;0;0;""I Love You,But...": What Your Trump Vote Tells My Family http://www. huffingtonpost.com/entry/i-love-y oubut-what-your-trump-vote-tells-my_us_581cd369e4b044f827a78c4f?ncid=engmodushpmg00000004 … via @HuffPostParents";;@HuffPostParents;;"795110315478257664";https://twitter.com/rheannamonique/status/795110315478257664
stevesilberman;2016-11-06 04:46;78;97;"Fascinating essay on why calling Trump a "liar" is not enough. He's actually doing something much more dangerous. http://www. nytimes.com/2016/11/05/opi nion/beyond-lying-donald-trumps-authoritarian-reality.html?_r=0 …";;;;"795110137128108032";https://twitter.com/stevesilberman/status/795110137128108032
Drakonskyr;2016-11-06 04:43;0;0;"this is all the plot to my next novel, "fear and loathing in election 2016 or how I learned to shut up and love how trump killed us all"";;;;"795109348808589312";https://twitter.com/Drakonskyr/status/795109348808589312
SpendingWell;2016-11-06 04:39;0;0;"@NateSilver538 the difference in FL is due to a 2 point tend line adjustment. Are you forecasting 2 more points for Trump in 3 days? (2/2)";;@NateSilver538;;"795108435440242688";https://twitter.com/SpendingWell/status/795108435440242688
cali94612;2016-11-06 04:33;0;0;"@realjoshmcd no one wants Trump dead, he's already a dead man walking based on the electoral map. We vote and don't cry about rigging. LOL";;@realjoshmcd;;"795106827830640640";https://twitter.com/cali94612/status/795106827830640640
cali94612;2016-11-06 04:31;0;0;"@realjoshmcd @RyanOBradford Trump ran off from a protestor with a sign, LOL. And you were whipped into a hysteria, admit it and move on.";;@realjoshmcd @RyanOBradford;;"795106410006614016";https://twitter.com/cali94612/status/795106410006614016
